INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
95 MALCOLM X BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016220006,02/24/2017,Open,Site to be cleaned.,,1003512,190827
4412 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,11,2050700005,01/24/2017,Pending,Cleaning crew dispatched.  Property cleaned.,01/20/2017,1024617,266772
675 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046200038,11/22/2016,Closed,Cleaning crew dispatched.  Cannot locate property.,02/27/2017,1003411,178678
23-18 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,4008420077,11/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/21/2017,1008233,221251
60 WALKER STREET,MANHATTAN,01 MANHATTAN,Precinct 1,01,1001940042,10/16/2016,Closed,Cleaning crew dispatched.  Owner refused.,01/30/2017,983412,201176
298 BROOME STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004190073,10/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/25/2017,986446,201116
910 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,33,3019140039,10/31/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/14/2016,996460,191995
50-17 47 AVENUE,QUEENS,02 QUEENS,Precinct 108,26,4022830068,07/15/2016,Closed,Cleaning crew dispatched.  Owner refused.,11/14/2016,1007768,209140
57-52 58 PLACE,QUEENS,05 QUEENS,Precinct 104,30,4026760044,07/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/10/2016,1009029,202174
65-08 164 STREET,QUEENS,08 QUEENS,Precinct 107,24,4067620053,08/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/08/2016,1038353,207660
163-17 ARCHER AVENUE,QUEENS,12 QUEENS,Precinct 103,27,4101510075,08/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/08/2016,1041035,195660
64-20 ADMIRAL AVENUE,QUEENS,05 QUEENS,Precinct 104,30,4036080061,06/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/08/2016,1012733,198726
24-12 149 STREET,QUEENS,07 QUEENS,Precinct 109,19,4046590033,06/14/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/07/2016,1034773,222405
305 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019520028,06/14/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/04/2016,997687,234497
477 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004740033,08/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,984190,202093
110 WEST   28 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,03,1008030047,04/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/31/2016,986702,211173
1953 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,2039300071,06/08/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/25/2016,1023211,242942
81-20 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4090090006,06/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/07/2016,1023224,188915
375 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032580003,07/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2016,1006106,194471
267 MESEROLE STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030460042,08/14/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/04/2016,1001563,197456
248-12 UNION TURNPIKE,QUEENS,13 QUEENS,Precinct 105,23,4085610001,04/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/29/2016,1061349,209886
1551 BERGEN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,36,3013480072,06/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/28/2016,1003079,185253
651 LEXINGTON AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016200064,06/14/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/25/2016,1002274,190492
390 WYTHE AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,33,3024410024,06/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/24/2016,993708,198921
3714 18 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,40,3054030032,06/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/21/2016,993109,170640
103-25 ROCKAWAY BOULEVARD,QUEENS,10 QUEENS,Precinct 106,32,4095260049,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/14/2016,1029689,186851
129 GATES AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019650082,09/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/04/2017,994532,188771
96 SOUTH PORTLAND AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3021167501,09/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/04/2017,991315,189456
8312 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060180044,09/11/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/05/2016,977275,166406
86-08 101 AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4090870004,09/12/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/01/2016,1024887,187829
8612 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060430042,09/17/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/29/2016,975605,166360
9202 4 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3061030031,09/04/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/29/2016,975856,164512
9010 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060820026,10/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/28/2016,976387,164814
5614 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,3047040006,08/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/22/2016,1005229,177010
418 BROADWAY,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,5002170051,10/06/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/09/2016,951899,169179
341 EAST   78 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,05,1014530016,08/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/04/2016,996860,220617
245 WEST   51 STREET,MANHATTAN,05 MANHATTAN,Precinct 18,03,1010230006,05/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,988546,217054
594 3 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 17,04,1008940048,06/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,990905,212051
2 EAST   62 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,04,1013760069,06/17/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/03/2016,992169,218365
