INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
97-05 ROCKAWAY BOULEVARD,QUEENS,10 QUEENS,Precinct 106,32,4091690050,07/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/07/2016,1028135,187164
65 SOUTH    2 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,33,3024030031,06/02/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/16/2016,993829,199546
3194 CAMBRIDGE AVENUE,BRONX,08 BRONX,Precinct 50,11,2057380410,04/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/25/2016,1009393,261322
971 EAST   16 STREET,BROOKLYN,14 BROOKLYN,Precinct 70,44,3067090054,05/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/25/2016,995183,167392
150 SOUTH    1 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024067501,03/15/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,995000,199308
654 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050260221,03/03/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,995266,178800
30 ALLEN STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002990024,03/13/2017,Open,Site downloaded for cleaning,,986435,200051
135 WOODPOINT ROAD,BROOKLYN,01 BROOKLYN,Precinct 94,34,3028750044,03/17/2017,Open,Site downloaded for cleaning,,1000495,200689
3510 BAINBRIDGE AVENUE,BRONX,07 BRONX,Precinct 52,11,2033440005,03/06/2017,Open,Site downloaded for cleaning,,1017877,260387
200 WEST  144 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,09,1020290036,02/04/2017,Open,Site downloaded for cleaning,,1000836,238458
291 GRAND STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3023830032,03/01/2017,Open,Site downloaded for cleaning,,996047,199042
1750 WALTON AVENUE,BRONX,05 BRONX,Precinct 46,14,2028260001,02/24/2017,Open,Site downloaded for cleaning,,1008991,247898
1237 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018420004,02/21/2017,Open,Site downloaded for cleaning,,997171,187360
601 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026790018,02/24/2017,Open,Site downloaded for cleaning,,997989,202738
293 PUTNAM AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018220058,02/21/2017,Open,Site downloaded for cleaning,,997882,188460
1094 HANCOCK STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033950035,01/09/2017,Open,Site downloaded for cleaning,,1008057,190376
211 AVENUE M,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065380050,01/28/2017,Open,Site downloaded for cleaning,,991765,163920
1133 BOSTON ROAD,BRONX,03 BRONX,Precinct 42,16,2026130026,01/27/2017,Open,Site downloaded for cleaning,,1010764,240922
6 BAY   23 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063730056,01/13/2017,Open,Site downloaded for cleaning,,984423,159586
31 SHERMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021740020,01/27/2017,Open,Site downloaded for cleaning,,1004105,253608
1961 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3015360001,01/13/2017,Open,Site downloaded for cleaning,,1007406,186518
5315 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056650004,12/27/2016,Open,Site downloaded for cleaning,,982697,172187
201 2 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004680037,12/06/2016,Open,Site downloaded for cleaning,,988217,205725
549 EAST   13 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004070037,10/31/2016,Open,Site downloaded for cleaning,,989927,204934
1597 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065830001,10/21/2016,Open,Site downloaded for cleaning,,991479,162943
74 WEST  108 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,07,1018430061,11/18/2016,Open,Site downloaded for cleaning,,994955,230847
272 BOWERY,MANHATTAN,02 MANHATTAN,Precinct 5,01,1005070028,11/13/2016,Open,Site downloaded for cleaning,,986234,202877
270-01 HILLSIDE AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4087810101,04/21/2016,Open,Site downloaded for cleaning,,1067279,208696
471 MARCUS GARVEY BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016790001,03/18/2017,Open,Site to be cleaned.,,1001558,187309
518 EAST  240 STREET,BRONX,12 BRONX,Precinct 47,11,2033980061,03/08/2017,Open,Site to be cleaned.,,1022404,267629
1568 WHITE PLAINS ROAD,BRONX,09 BRONX,Precinct 43,18,2039370133,02/09/2017,Open,Site to be cleaned.,,1021919,245223
1012 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3054290019,02/25/2017,Open,Site to be cleaned.,,993422,169850
1589 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018590034,03/08/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1001551,186934
846 FLUSHING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031380020,03/20/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1001404,194893
2344 ARTHUR AVENUE,BRONX,06 BRONX,Precinct 48,15,2030730013,03/07/2017,Open,Site downloaded for cleaning,,1015047,250522
1360 GARRISON AVENUE,BRONX,02 BRONX,Precinct 41,17,2027610219,03/06/2017,Open,Site downloaded for cleaning,,1015999,238522
1120 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016040023,03/01/2017,Open,Site downloaded for cleaning,,1003800,192030
846 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050820028,03/01/2017,Open,Site downloaded for cleaning,,995610,176719
138-54 84 DRIVE,QUEENS,08 QUEENS,Precinct 107,24,4096490044,02/21/2017,Open,Site downloaded for cleaning,,1034663,197689
120 MADISON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,3019900030,02/21/2017,Open,Site downloaded for cleaning,,996844,188570
700 GRAND CONCOURSE,BRONX,04 BRONX,Precinct 44,17,2024580006,02/05/2017,Open,Site downloaded for cleaning,,1005013,238840
1173 MYRTLE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031820010,02/24/2017,Open,Site downloaded for cleaning,,1002589,193271
109 EAST MOUNT EDEN AVENUE,BRONX,04 BRONX,Precinct 44,14,2028380001,02/23/2017,Open,Site downloaded for cleaning,,1008401,246605
790 EAST TREMONT AVENUE,BRONX,06 BRONX,Precinct 48,17,2029560017,02/23/2017,Open,Site downloaded for cleaning,,1015189,246770
34-11 38 STREET,QUEENS,01 QUEENS,Precinct 114,26,4006720019,02/07/2017,Open,Site downloaded for cleaning,,1005880,214975
1013 SURF AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3072680234,01/30/2017,Open,Site downloaded for cleaning,,990272,148937
1500 INWOOD AVENUE,BRONX,04 BRONX,Precinct 44,14,2028590005,01/04/2017,Open,Site downloaded for cleaning,,1007150,246363
375 JAY STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001470001,01/14/2017,Open,Site downloaded for cleaning,,987778,191552
920 3 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 17,04,1013100036,01/20/2017,Open,Site downloaded for cleaning,,993037,215891
1217 FRANKLIN AVENUE,BRONX,03 BRONX,Precinct 42,16,2026110035,12/23/2016,Open,Site downloaded for cleaning,,1010869,241703
1100 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3064980030,11/23/2016,Open,Site downloaded for cleaning,,993576,169103
3907 FOURTH AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007090005,11/28/2016,Open,Site downloaded for cleaning,,982511,177005
7506 13 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3062210040,11/04/2016,Open,Site downloaded for cleaning,,982152,165230
1372 BEDFORD AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3012110043,11/14/2016,Open,Site downloaded for cleaning,,997280,185700
510 WEST   27 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,03,1006980044,11/01/2016,Open,Site downloaded for cleaning,,983339,212741
172 DECATUR STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016790016,11/01/2016,Open,Site downloaded for cleaning,,1001898,187426
159-15 HILLSIDE AVENUE,QUEENS,08 QUEENS,Precinct 107,24,4097690090,11/21/2016,Open,Site downloaded for cleaning,,1038990,197205
115-03 MERRICK BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,4124020028,10/22/2016,Open,Site downloaded for cleaning,,1045882,190651
332 WEST   44 STREET,MANHATTAN,04 MANHATTAN,Precinct 14,03,1010340048,09/25/2016,Open,Site downloaded for cleaning,,987042,215793
224 MORNINGSTAR ROAD,STATEN ISLAND,01 STATEN ISLAND,Precinct 121,49,5011530014,10/19/2016,Open,Site downloaded for cleaning,,943588,169751
120 EAST  106 STREET,MANHATTAN,11 MANHATTAN,Precinct 23,08,1016330061,09/29/2016,Open,Site downloaded for cleaning,,998944,228015
197 HAVEMEYER STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024470003,05/18/2016,Open,Site downloaded for cleaning,,995762,197986
271 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019310001,03/26/2017,Open,Site to be cleaned.,,997953,234350
1697 JEROME AVENUE,BRONX,05 BRONX,Precinct 46,14,2028610094,02/14/2017,Open,Site to be cleaned.,,1008331,247823
2358 DR MARTIN LUTHER KING JR BLVD,BRONX,07 BRONX,Precinct 52,14,2032120058,02/19/2017,Open,Site to be cleaned.,,1010282,253225
190-06 WILLIAMSON AVENUE,QUEENS,12 QUEENS,Precinct 113,27,4127270074,03/29/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1052392,188293
53-21 240 STREET,QUEENS,11 QUEENS,Precinct 111,19,4081760032,03/30/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1055848,215233
1684 ROCKAWAY PARKWAY,BROOKLYN,18 BROOKLYN,Precinct 69,46,3082420043,03/01/2017,Open,Site downloaded for cleaning,,1012876,172543
1530 HART PLACE,BROOKLYN,13 BROOKLYN,Precinct 60,47,3069960052,01/19/2017,Open,Site downloaded for cleaning,,988684,151341
2455 SEDGEWICK AVENUE,BRONX,07 BRONX,Precinct 52,14,2032360175,01/27/2017,Open,Site downloaded for cleaning,,1009473,254357
772 44 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007410037,11/28/2016,Open,Site downloaded for cleaning,,984001,174223
6217 8 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,38,3057280003,12/22/2016,Open,Site downloaded for cleaning,,981228,170334
397 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027330026,03/25/2017,Open,Site to be cleaned.,,999028,200902
105 MERCER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004990035,02/18/2017,Open,Site to be cleaned.,,984419,202939
1662 HAIGHT AVENUE,BRONX,11 BRONX,Precinct 49,13,2041060004,03/14/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1025355,248075
115st DALIAN COURT,QUEENS,Unspecified QUEENS,Unspecified,,,10/10/2016,Open,Property Research Required,,,
55 ANTIN PLACE,BRONX,11 BRONX,Precinct 49,13,,09/30/2016,Open,Property Research Required,,1021681,249605
5752 MOSHOLU AVENUE,BRONX,Unspecified BRONX,Unspecified,,,06/06/2016,Open,Property Research Required,,,
16 HOPE STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,,05/23/2016,Open,Property Research Required,,996090,199304
 hicks and summit street,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,05/14/2016,Open,Property Research Required,,,
 park ave,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,06/03/2016,Open,Property Research Required,,,
920 EAST  156 STREET,BRONX,02 BRONX,Precinct 41,17,,05/04/2016,Open,Property Research Required,,1011760,236835
 N/E CORNER 12 AVENUE AND WEST 133 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,04/19/2016,Open,Property Research Required,,,
1017 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,17,,04/11/2016,Open,Property Research Required,,1014185,239321
2935 BOSTON ROAD,BRONX,11 BRONX,Precinct 49,12,2045540045,03/08/2017,Open,Site downloaded for cleaning,,1023294,255673
456 WILLIS AVENUE,BRONX,01 BRONX,Precinct 40,08,2022900005,01/05/2017,Open,Site downloaded for cleaning,,1006572,235816
350 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024300021,05/26/2016,Pending,Cleaning crew dispatched.  Property cleaned.,01/14/2016,994594,198799
735 ALLERTON AVENUE,BRONX,11 BRONX,Precinct 49,15,2045100063,01/25/2017,Pending,Cleaning crew dispatched.  Property cleaned.,01/20/2017,1021371,254620
2170 STARLING AVENUE,BRONX,09 BRONX,Precinct 43,18,2039350043,01/25/2017,Pending,Cleaning crew dispatched.  Property cleaned.,01/19/2017,1024959,243990
41-12 GREENPOINT AVENUE,QUEENS,02 QUEENS,Precinct 108,26,4001970001,05/09/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/18/2016,1005361,208917
1019 GARRISON AVENUE,BRONX,02 BRONX,Precinct 41,17,2027340044,04/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/14/2016,1014623,237636
233 BANKER STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026160001,05/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/12/2016,996476,203661
41-05 FULLER PLACE,QUEENS,07 QUEENS,Precinct 109,20,4050620001,11/09/2016,Closed,Cleaning crew dispatched.  Owner refused.,02/22/2017,1029908,214457
275 NORTH    8 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023150033,01/11/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/22/2017,997351,200016
31-27 DITMARS BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4008310098,11/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/21/2017,1009136,221920
307 SCHOLES STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030380033,08/14/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/21/2016,1002006,197774
892 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015820015,10/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/13/2016,1001684,193593
58-20 FRANCIS LEWIS BOULEVARD,QUEENS,11 QUEENS,Precinct 111,20,4074500013,09/17/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/02/2016,1046173,210766
1201 AVENUE Z,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074330148,08/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/01/2016,995905,153346
43-20 43 AVENUE,QUEENS,02 QUEENS,Precinct 108,26,4001620023,09/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/28/2016,1006179,210777
2128 ROCKAWAY PARKWAY,BROOKLYN,18 BROOKLYN,Precinct 69,46,3083310006,10/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2016,1015585,169358
170 SUFFOLK STREET,MANHATTAN,03 MANHATTAN,Precinct 7,02,1003500004,08/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,988373,201899
2408 GRAND CONCOURSE,BRONX,05 BRONX,Precinct 46,15,2031520051,06/14/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2016,1012352,252649
1703 MC DONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3066080001,08/13/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/26/2016,991634,161887
3495 3 AVENUE,BRONX,03 BRONX,Precinct 42,16,2023720030,07/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/19/2016,1010221,241828
2140 BERGEN STREET,BROOKLYN,16 BROOKLYN,Precinct 73,41,3014550035,06/13/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/18/2016,1009398,184799
217 MALCOLM X BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016570011,07/07/2016,Closed,Cleaning crew dispatched.  Owner refused.,10/04/2016,1003783,189058
100 NORTH    6 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023340016,06/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/29/2016,995254,201050
98 EAST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,14,2028290045,04/26/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/19/2016,1010328,250132
429 EAST  164 STREET,BRONX,03 BRONX,Precinct 42,17,2023860067,05/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/12/2016,1008871,240298
529 63 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3058010058,05/28/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/02/2016,979488,171471
15 NORTH   15 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026140019,04/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/07/2016,996178,203322
731 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051410123,06/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/16/2016,992891,172300
535 WEST  135 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,07,1019880074,04/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/27/2016,997181,237806
201 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002850025,10/19/2016,Closed,Graffiti is intentional.,,987560,199490
48 HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002977502,10/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/25/2017,986944,200026
1986 3 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,08,1016370033,09/21/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/14/2016,999983,228426
411 SOUTH    5 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024520041,10/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2016,997604,196912
6918 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058710052,09/01/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/08/2016,976994,170807
87-05 96 STREET,QUEENS,09 QUEENS,Precinct 102,32,4089370001,09/05/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/01/2016,1026021,192173
1990 WEST    6 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3070820043,09/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/30/2016,990349,157602
107-25 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4093140032,09/06/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/30/2016,1029122,191135
6324 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3058090043,09/28/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/28/2016,979218,171574
524 NEW LOTS AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3043040001,10/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/18/2016,1015101,181112
1198 PUTNAM AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3033740030,09/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/10/2016,1007432,190843
171 WEST  133 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,09,1019180005,07/28/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,999801,235725
2268 FIRST AVENUE,MANHATTAN,11 MANHATTAN,Precinct 25,08,1017100050,09/08/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/08/2016,1002217,229433
265 COLUMBUS AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,06,1011250001,09/08/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/04/2016,990178,222604
561 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,09,1020070036,07/28/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/04/2016,1001076,236712
96 3 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,02,1005580032,06/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,987596,206069
1205 2 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,04,1014180021,06/17/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/03/2016,994679,217390
98 CLINTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003480039,08/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,988286,200986
29A LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002980018,06/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,986832,199979
77 7 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 13,03,1007900001,04/19/2016,Closed,Cleaning crew dispatched.  Cannot locate property.,10/31/2016,984458,208564
43 WEST   28 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,03,1008300013,04/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/31/2016,987196,210906
1078 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3064980020,07/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2016,993549,169245
108 NORTH    6 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023340020,06/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/04/2016,995311,201003
361 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3023460026,06/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/04/2016,996477,199445
245 JOHNSON AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030640026,08/14/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/03/2016,1001006,196840
83 ELDRIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1003060027,04/15/2016,Closed,Cleaning crew dispatched. No graffiti on property.,09/23/2016,986332,200555
177A NASSAU AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026520030,05/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/08/2016,999185,203537
966 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025410007,05/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/01/2016,996842,206014
533 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050390007,05/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/29/2016,997194,179355
86 RALPH AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,41,3016480049,06/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/25/2016,1005445,189646
133 17 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006270066,07/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/23/2016,985679,181871
203 M AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065380054,06/04/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/27/2016,991703,163911
7805 15 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062580008,05/03/2016,Closed,Cleaning crew dispatched. No graffiti on property.,07/20/2016,982887,163636
649 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026450026,05/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/14/2016,997782,203210
733 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026190017,05/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/14/2016,997495,203871
277 NEPTUNE AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3072620006,05/04/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/30/2016,994384,151028
283 RALPH AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,41,3015240005,05/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/10/2016,1005854,186920
2302 EAST    2 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071530043,06/21/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/27/2016,992900,155407
216 EAST  203 STREET,BRONX,07 BRONX,Precinct 52,11,2033080008,10/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/16/2016,1015807,257642
468 HART STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015960037,01/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2017,1003006,192511
175 SPENCER STREET,BROOKLYN,03 BROOKLYN,Precinct 79,33,3017630024,11/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2017,996785,191664
912 WILLOUGHBY AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032040022,12/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/24/2017,1003004,193049
59-15 FRESH POND ROAD,QUEENS,05 QUEENS,Precinct 104,30,4027540019,04/11/2016,Closed,Cleaning crew dispatched. No graffiti on property.,02/14/2017,1011313,201244
2079 8 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,09,1018470021,09/20/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/14/2016,996146,231527
36-12 28 STREET,QUEENS,01 QUEENS,Precinct 114,26,4003440040,10/07/2016,Closed,Cleaning crew dispatched.  Owner refused.,12/07/2016,1002966,215213
88-04 ARION ROAD,QUEENS,10 QUEENS,Precinct 106,32,4113980001,09/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/30/2016,1026503,183957
79 ETNA STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039050030,08/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/21/2016,1017387,188925
12 WHITE STREET,MANHATTAN,01 MANHATTAN,Precinct 1,01,1001917501,05/04/2016,Closed,Cleaning crew dispatched.  Owner refused.,11/01/2016,982684,201312
1174 EAST   15 STREET,BROOKLYN,14 BROOKLYN,Precinct 70,44,3067250037,07/31/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2016,995176,165587
1130 ROGERS AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3051920017,07/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/25/2016,997689,173267
31 EAST    1 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004420011,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/20/2016,986933,203069
1873 LACOMBE AVENUE,BRONX,09 BRONX,Precinct 43,18,2035250004,06/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,1023252,236366
2266 5 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,09,1017360035,05/18/2016,Closed,Cleaning crew dispatched. No graffiti on property.,09/26/2016,1001863,236208
25-16 33 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4005810001,05/03/2016,Closed,Cleaning crew dispatched. No graffiti on property.,09/22/2016,1003948,217182
902 57 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056940004,05/16/2016,Closed,Cleaning crew dispatched. No graffiti on property.,09/15/2016,982798,170858
30 DRIGGS AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026900043,05/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/06/2016,1000878,202870
